0 0 PASS  
12300310 12300310 PASS 一千二百三十萬零三百十 
12300123 12300123 PASS 一千二百三十萬零一百二十三 
12301000 12301000 PASS 一千二百三十萬一千 
12301002 12301002 PASS 一千二百三十萬一千零零二 
12301020 12301020 PASS 一千二百三十萬一千零二十 
12301023 12301023 PASS 一千二百三十萬一千零二十三 
12301200 12301200 PASS 一千二百三十萬一千二百 
12301203 12301203 PASS 一千二百三十萬一千二百零三 
12301230 12301230 PASS 一千二百三十萬一千二百三十 
12301234 12301234 PASS 一千二百三十萬一千二百三十四 
12340000 12340000 PASS 一千二百三十四萬 
12340001 12340001 PASS 一千二百三十四萬零零零一 
12340010 12340010 PASS 一千二百三十四萬零零十 
12340012 12340012 PASS 一千二百三十四萬零零十二 
12340100 12340100 PASS 一千二百三十四萬零一百 
12340102 12340102 PASS 一千二百三十四萬零一百零二 
12340310 12340310 PASS 一千二百三十四萬零三百十 
12340123 12340123 PASS 一千二百三十四萬零一百二十三 
12341000 12341000 PASS 一千二百三十四萬一千 
12341002 12341002 PASS 一千二百三十四萬一千零零二 
12341020 12341020 PASS 一千二百三十四萬一千零二十 
12341023 12341023 PASS 一千二百三十四萬一千零二十三 
12341200 12341200 PASS 一千二百三十四萬一千二百 
12341203 12341203 PASS 一千二百三十四萬一千二百零三 
12341230 12341230 PASS 一千二百三十四萬一千二百三十 
12341234 12341234 PASS 一千二百三十四萬一千二百三十四 
100000000 100000000 PASS 零零零一億 
100000001 100000001 PASS 零零零一億零零零零一 
100000010 100000010 PASS 零零零一億零零零十 
100000012 100000012 PASS 零零零一億零零零十二 
100000100 100000100 PASS 零零零一億零零一百 
100000102 100000102 PASS 零零零一億零零一百零二 
100000310 100000310 PASS 零零零一億零零三百十 
100000123 100000123 PASS 零零零一億零零一百二十三 
100001000 100001000 PASS 零零零一億零一千 
100001002 100001002 PASS 零零零一億零一千零零二 
100001020 100001020 PASS 零零零一億零一千零二十 
100001023 100001023 PASS 零零零一億零一千零二十三 
100001200 100001200 PASS 零零零一億零一千二百 
100001203 100001203 PASS 零零零一億零一千二百零三 
100001230 100001230 PASS 零零零一億零一千二百三十 
100001234 100001234 PASS 零零零一億零一千二百三十四 
100010000 100010000 PASS 零零零一億零零零一萬 
100010001 100010001 PASS 零零零一億零零零一萬零零零一 
100010010 100010010 PASS 零零零一億零零零一萬零零十 
100010012 100010012 PASS 零零零一億零零零一萬零零十二 
100010100 100010100 PASS 零零零一億零零零一萬零一百 
100010102 100010102 PASS 零零零一億零零零一萬零一百零二 
100010310 100010310 PASS 零零零一億零零零一萬零三百十 
100010123 100010123 PASS 零零零一億零零零一萬零一百二十三 
100011000 100011000 PASS 零零零一億零零零一萬一千 
100011002 100011002 PASS 零零零一億零零零一萬一千零零二 
100011020 100011020 PASS 零零零一億零零零一萬一千零二十 
100011023 100011023 PASS 零零零一億零零零一萬一千零二十三 
100011200 100011200 PASS 零零零一億零零零一萬一千二百 
100011203 100011203 PASS 零零零一億零零零一萬一千二百零三 
100011230 100011230 PASS 零零零一億零零零一萬一千二百三十 
100011234 100011234 PASS 零零零一億零零零一萬一千二百三十四 
100100000 100100000 PASS 零零零一億零零十萬 
100100001 100100001 PASS 零零零一億零零十萬零零零一 
100100010 100100010 PASS 零零零一億零零十萬零零十 
100100012 100100012 PASS 零零零一億零零十萬零零十二 
100100100 100100100 PASS 零零零一億零零十萬零一百 
100100102 100100102 PASS 零零零一億零零十萬零一百零二 
100100310 100100310 PASS 零零零一億零零十萬零三百十 
100100123 100100123 PASS 零零零一億零零十萬零一百二十三 
100101000 100101000 PASS 零零零一億零零十萬一千 
100101002 100101002 PASS 零零零一億零零十萬一千零零二 
100101020 100101020 PASS 零零零一億零零十萬一千零二十 
100101023 100101023 PASS 零零零一億零零十萬一千零二十三 
100101200 100101200 PASS 零零零一億零零十萬一千二百 
100101203 100101203 PASS 零零零一億零零十萬一千二百零三 
100101230 100101230 PASS 零零零一億零零十萬一千二百三十 
100101234 100101234 PASS 零零零一億零零十萬一千二百三十四 
100120000 100120000 PASS 零零零一億零零十二萬 
100120001 100120001 PASS 零零零一億零零十二萬零零零一 
100120010 100120010 PASS 零零零一億零零十二萬零零十 
100120012 100120012 PASS 零零零一億零零十二萬零零十二 
100120100 100120100 PASS 零零零一億零零十二萬零一百 
100120102 100120102 PASS 零零零一億零零十二萬零一百零二 
100120310 100120310 PASS 零零零一億零零十二萬零三百十 
100120123 100120123 PASS 零零零一億零零十二萬零一百二十三 
100121000 100121000 PASS 零零零一億零零十二萬一千 
100121002 100121002 PASS 零零零一億零零十二萬一千零零二 
100121020 100121020 PASS 零零零一億零零十二萬一千零二十 
100121023 100121023 PASS 零零零一億零零十二萬一千零二十三 
100121200 100121200 PASS 零零零一億零零十二萬一千二百 
100121203 100121203 PASS 零零零一億零零十二萬一千二百零三 
100121230 100121230 PASS 零零零一億零零十二萬一千二百三十 
100121234 100121234 PASS 零零零一億零零十二萬一千二百三十四 
101000000 101000000 PASS 零零零一億零一百萬 
101000001 101000001 PASS 零零零一億零一百萬零零零一 
101000010 101000010 PASS 零零零一億零一百萬零零十 
101000012 101000012 PASS 零零零一億零一百萬零零十二 
101000100 101000100 PASS 零零零一億零一百萬零一百 
101000102 101000102 PASS 零零零一億零一百萬零一百零二 
101000310 101000310 PASS 零零零一億零一百萬零三百十 
101000123 101000123 PASS 零零零一億零一百萬零一百二十三 
101001000 101001000 PASS 零零零一億零一百萬一千 
101001002 101001002 PASS 零零零一億零一百萬一千零零二 
101001020 101001020 PASS 零零零一億零一百萬一千零二十 
101001023 101001023 PASS 零零零一億零一百萬一千零二十三 
101001200 101001200 PASS 零零零一億零一百萬一千二百 
101001203 101001203 PASS 零零零一億零一百萬一千二百零三 
101001230 101001230 PASS 零零零一億零一百萬一千二百三十 
101001234 101001234 PASS 零零零一億零一百萬一千二百三十四 
101020000 101020000 PASS 零零零一億零一百零二萬 
101020001 101020001 PASS 零零零一億零一百零二萬零零零一 
101020010 101020010 PASS 零零零一億零一百零二萬零零十 
101020012 101020012 PASS 零零零一億零一百零二萬零零十二 
101020100 101020100 PASS 零零零一億零一百零二萬零一百 
101020102 101020102 PASS 零零零一億零一百零二萬零一百零二 
101020310 101020310 PASS 零零零一億零一百零二萬零三百十 
101020123 101020123 PASS 零零零一億零一百零二萬零一百二十三 
101021000 101021000 PASS 零零零一億零一百零二萬一千 
101021002 101021002 PASS 零零零一億零一百零二萬一千零零二 
101021020 101021020 PASS 零零零一億零一百零二萬一千零二十 
101021023 101021023 PASS 零零零一億零一百零二萬一千零二十三 
101021200 101021200 PASS 零零零一億零一百零二萬一千二百 
101021203 101021203 PASS 零零零一億零一百零二萬一千二百零三 
101021230 101021230 PASS 零零零一億零一百零二萬一千二百三十 
101021234 101021234 PASS 零零零一億零一百零二萬一千二百三十四 
103100000 103100000 PASS 零零零一億零三百十萬 
103100001 103100001 PASS 零零零一億零三百十萬零零零一 
103100010 103100010 PASS 零零零一億零三百十萬零零十 
103100012 103100012 PASS 零零零一億零三百十萬零零十二 
103100100 103100100 PASS 零零零一億零三百十萬零一百 
103100102 103100102 PASS 零零零一億零三百十萬零一百零二 
103100310 103100310 PASS 零零零一億零三百十萬零三百十 
103100123 103100123 PASS 零零零一億零三百十萬零一百二十三 
103101000 103101000 PASS 零零零一億零三百十萬一千 
103101002 103101002 PASS 零零零一億零三百十萬一千零零二 
103101020 103101020 PASS 零零零一億零三百十萬一千零二十 
103101023 103101023 PASS 零零零一億零三百十萬一千零二十三 
103101200 103101200 PASS 零零零一億零三百十萬一千二百 
103101203 103101203 PASS 零零零一億零三百十萬一千二百零三 
103101230 103101230 PASS 零零零一億零三百十萬一千二百三十 
103101234 103101234 PASS 零零零一億零三百十萬一千二百三十四 
101230000 101230000 PASS 零零零一億零一百二十三萬 
101230001 101230001 PASS 零零零一億零一百二十三萬零零零一 
101230010 101230010 PASS 零零零一億零一百二十三萬零零十 
101230012 101230012 PASS 零零零一億零一百二十三萬零零十二 
101230100 101230100 PASS 零零零一億零一百二十三萬零一百 
101230102 101230102 PASS 零零零一億零一百二十三萬零一百零二 
101230310 101230310 PASS 零零零一億零一百二十三萬零三百十 
101230123 101230123 PASS 零零零一億零一百二十三萬零一百二十三 
101231000 101231000 PASS 零零零一億零一百二十三萬一千 
101231002 101231002 PASS 零零零一億零一百二十三萬一千零零二 
101231020 101231020 PASS 零零零一億零一百二十三萬一千零二十 
101231023 101231023 PASS 零零零一億零一百二十三萬一千零二十三 
101231200 101231200 PASS 零零零一億零一百二十三萬一千二百 
101231203 101231203 PASS 零零零一億零一百二十三萬一千二百零三 
101231230 101231230 PASS 零零零一億零一百二十三萬一千二百三十 
101231234 101231234 PASS 零零零一億零一百二十三萬一千二百三十四 
110000000 110000000 PASS 零零零一億一千萬 
110000001 110000001 PASS 零零零一億一千萬零零零一 
110000010 110000010 PASS 零零零一億一千萬零零十 
110000012 110000012 PASS 零零零一億一千萬零零十二 
110000100 110000100 PASS 零零零一億一千萬零一百 
110000102 110000102 PASS 零零零一億一千萬零一百零二 
110000310 110000310 PASS 零零零一億一千萬零三百十 
110000123 110000123 PASS 零零零一億一千萬零一百二十三 
110001000 110001000 PASS 零零零一億一千萬一千 
110001002 110001002 PASS 零零零一億一千萬一千零零二 
110001020 110001020 PASS 零零零一億一千萬一千零二十 
110001023 110001023 PASS 零零零一億一千萬一千零二十三 
110001200 110001200 PASS 零零零一億一千萬一千二百 
110001203 110001203 PASS 零零零一億一千萬一千二百零三 
110001230 110001230 PASS 零零零一億一千萬一千二百三十 
110001234 110001234 PASS 零零零一億一千萬一千二百三十四 
110020000 110020000 PASS 零零零一億一千零零二萬 
110020001 110020001 PASS 零零零一億一千零零二萬零零零一 
110020010 110020010 PASS 零零零一億一千零零二萬零零十 
110020012 110020012 PASS 零零零一億一千零零二萬零零十二 
110020100 110020100 PASS 零零零一億一千零零二萬零一百 
110020102 110020102 PASS 零零零一億一千零零二萬零一百零二 
110020310 110020310 PASS 零零零一億一千零零二萬零三百十 
110020123 110020123 PASS 零零零一億一千零零二萬零一百二十三 
110021000 110021000 PASS 零零零一億一千零零二萬一千 
110021002 110021002 PASS 零零零一億一千零零二萬一千零零二 
110021020 110021020 PASS 零零零一億一千零零二萬一千零二十 
110021023 110021023 PASS 零零零一億一千零零二萬一千零二十三 
110021200 110021200 PASS 零零零一億一千零零二萬一千二百 
110021203 110021203 PASS 零零零一億一千零零二萬一千二百零三 
110021230 110021230 PASS 零零零一億一千零零二萬一千二百三十 
110021234 110021234 PASS 零零零一億一千零零二萬一千二百三十四 
110200000 110200000 PASS 零零零一億一千零二十萬 
110200001 110200001 PASS 零零零一億一千零二十萬零零零一 
110200010 110200010 PASS 零零零一億一千零二十萬零零十 
110200012 110200012 PASS 零零零一億一千零二十萬零零十二 
110200100 110200100 PASS 零零零一億一千零二十萬零一百 
110200102 110200102 PASS 零零零一億一千零二十萬零一百零二 
110200310 110200310 PASS 零零零一億一千零二十萬零三百十 
110200123 110200123 PASS 零零零一億一千零二十萬零一百二十三 
110201000 110201000 PASS 零零零一億一千零二十萬一千 
110201002 110201002 PASS 零零零一億一千零二十萬一千零零二 
110201020 110201020 PASS 零零零一億一千零二十萬一千零二十 
110201023 110201023 PASS 零零零一億一千零二十萬一千零二十三 
110201200 110201200 PASS 零零零一億一千零二十萬一千二百 
110201203 110201203 PASS 零零零一億一千零二十萬一千二百零三 
110201230 110201230 PASS 零零零一億一千零二十萬一千二百三十 
110201234 110201234 PASS 零零零一億一千零二十萬一千二百三十四 
110230000 110230000 PASS 零零零一億一千零二十三萬 
110230001 110230001 PASS 零零零一億一千零二十三萬零零零一 
110230010 110230010 PASS 零零零一億一千零二十三萬零零十 
110230012 110230012 PASS 零零零一億一千零二十三萬零零十二 
110230100 110230100 PASS 零零零一億一千零二十三萬零一百 
110230102 110230102 PASS 零零零一億一千零二十三萬零一百零二 
110230310 110230310 PASS 零零零一億一千零二十三萬零三百十 
110230123 110230123 PASS 零零零一億一千零二十三萬零一百二十三 
110231000 110231000 PASS 零零零一億一千零二十三萬一千 
110231002 110231002 PASS 零零零一億一千零二十三萬一千零零二 
110231020 110231020 PASS 零零零一億一千零二十三萬一千零二十 
110231023 110231023 PASS 零零零一億一千零二十三萬一千零二十三 
110231200 110231200 PASS 零零零一億一千零二十三萬一千二百 
110231203 110231203 PASS 零零零一億一千零二十三萬一千二百零三 
110231230 110231230 PASS 零零零一億一千零二十三萬一千二百三十 
110231234 110231234 PASS 零零零一億一千零二十三萬一千二百三十四 
112000000 112000000 PASS 零零零一億一千二百萬 
112000001 112000001 PASS 零零零一億一千二百萬零零零一 
112000010 112000010 PASS 零零零一億一千二百萬零零十 
112000012 112000012 PASS 零零零一億一千二百萬零零十二 
112000100 112000100 PASS 零零零一億一千二百萬零一百 
112000102 112000102 PASS 零零零一億一千二百萬零一百零二 
112000310 112000310 PASS 零零零一億一千二百萬零三百十 
112000123 112000123 PASS 零零零一億一千二百萬零一百二十三 
112001000 112001000 PASS 零零零一億一千二百萬一千 
112001002 112001002 PASS 零零零一億一千二百萬一千零零二 
112001020 112001020 PASS 零零零一億一千二百萬一千零二十 
112001023 112001023 PASS 零零零一億一千二百萬一千零二十三 
112001200 112001200 PASS 零零零一億一千二百萬一千二百 
112001203 112001203 PASS 零零零一億一千二百萬一千二百零三 
112001230 112001230 PASS 零零零一億一千二百萬一千二百三十 
112001234 112001234 PASS 零零零一億一千二百萬一千二百三十四 
112030000 112030000 PASS 零零零一億一千二百零三萬 
112030001 112030001 PASS 零零零一億一千二百零三萬零零零一 
112030010 112030010 PASS 零零零一億一千二百零三萬零零十 
112030012 112030012 PASS 零零零一億一千二百零三萬零零十二 
112030100 112030100 PASS 零零零一億一千二百零三萬零一百 
112030102 112030102 PASS 零零零一億一千二百零三萬零一百零二 
112030310 112030310 PASS 零零零一億一千二百零三萬零三百十 
112030123 112030123 PASS 零零零一億一千二百零三萬零一百二十三 
112031000 112031000 PASS 零零零一億一千二百零三萬一千 
112031002 112031002 PASS 零零零一億一千二百零三萬一千零零二 
112031020 112031020 PASS 零零零一億一千二百零三萬一千零二十 
112031023 112031023 PASS 零零零一億一千二百零三萬一千零二十三 
112031200 112031200 PASS 零零零一億一千二百零三萬一千二百 
112031203 112031203 PASS 零零零一億一千二百零三萬一千二百零三 
112031230 112031230 PASS 零零零一億一千二百零三萬一千二百三十 
112031234 112031234 PASS 零零零一億一千二百零三萬一千二百三十四 
112300000 112300000 PASS 零零零一億一千二百三十萬 
112300001 112300001 PASS 零零零一億一千二百三十萬零零零一 
112300010 112300010 PASS 零零零一億一千二百三十萬零零十 
112300012 112300012 PASS 零零零一億一千二百三十萬零零十二 
112300100 112300100 PASS 零零零一億一千二百三十萬零一百 
112300102 112300102 PASS 零零零一億一千二百三十萬零一百零二 
112300310 112300310 PASS 零零零一億一千二百三十萬零三百十 
112300123 112300123 PASS 零零零一億一千二百三十萬零一百二十三 
112301000 112301000 PASS 零零零一億一千二百三十萬一千 
112301002 112301002 PASS 零零零一億一千二百三十萬一千零零二 
112301020 112301020 PASS 零零零一億一千二百三十萬一千零二十 
112301023 112301023 PASS 零零零一億一千二百三十萬一千零二十三 
112301200 112301200 PASS 零零零一億一千二百三十萬一千二百 
112301203 112301203 PASS 零零零一億一千二百三十萬一千二百零三 
112301230 112301230 PASS 零零零一億一千二百三十萬一千二百三十 
112301234 112301234 PASS 零零零一億一千二百三十萬一千二百三十四 
112340000 112340000 PASS 零零零一億一千二百三十四萬 
112340001 112340001 PASS 零零零一億一千二百三十四萬零零零一 
112340010 112340010 PASS 零零零一億一千二百三十四萬零零十 
112340012 112340012 PASS 零零零一億一千二百三十四萬零零十二 
112340100 112340100 PASS 零零零一億一千二百三十四萬零一百 
112340102 112340102 PASS 零零零一億一千二百三十四萬零一百零二 
112340310 112340310 PASS 零零零一億一千二百三十四萬零三百十 
112340123 112340123 PASS 零零零一億一千二百三十四萬零一百二十三 
112341000 112341000 PASS 零零零一億一千二百三十四萬一千 
112341002 112341002 PASS 零零零一億一千二百三十四萬一千零零二 
112341020 112341020 PASS 零零零一億一千二百三十四萬一千零二十 
112341023 112341023 PASS 零零零一億一千二百三十四萬一千零二十三 
112341200 112341200 PASS 零零零一億一千二百三十四萬一千二百 
112341203 112341203 PASS 零零零一億一千二百三十四萬一千二百零三 
112341230 112341230 PASS 零零零一億一千二百三十四萬一千二百三十 
112341234 112341234 PASS 零零零一億一千二百三十四萬一千二百三十四 
1000000000 1000000000 PASS 零零十億 
1000000001 1000000001 PASS 零零十億零零零零一 
1000000010 1000000010 PASS 零零十億零零零十 
1000000012 1000000012 PASS 零零十億零零零十二 
1000000100 1000000100 PASS 零零十億零零一百 
1000000102 1000000102 PASS 零零十億零零一百零二 
1000000310 1000000310 PASS 零零十億零零三百十 
1000000123 1000000123 PASS 零零十億零零一百二十三 
1000001000 1000001000 PASS 零零十億零一千 
